,100.0, 200.0, 300.0, 400.0, 500.0, 600.0, 700.0, 800.0, 900.0, 1000.0, 1100.0, 1200.0, 1300.0, 1400.0, 1500.0, 1600.0, 1700.0, 1800.0, 1900.0, 2000.0
1, 84.9, 1.0, 99.3, 17.7, 70.6, 97.3, 69.2, 62.8, 26.8, 37.4, 80.8, 42.9, 37.0, 29.3, 27.6, 26.0, 26.9, 39.9, 36.3, 15.0
