tN,N,nS,Phi_avg,Phi_min,Bmax,lam,kappa,opt_time,opt_calls,status
1500,3793,40,99.9,99,1.07,1.00E+07,1.00E+02,499,304, SF
1400,3540,55,99.9,99,1.82,1.00E+07,1.00E+02,1224,695, SF
1400,3540,60,99.9,99,1.8,1.00E+07,1.00E+02,1192,647, SF
1500,3793,55,99.6,91.5,2.37,1.00E+07,1.00E+02,2406,1274, TO
1500,3793,60,99.7,94.5,1.94,1.00E+07,1.00E+02,2400,1234, TO
1600,4046,55,99.9,99,1.3,1.00E+07,1.00E+02,901,447, SF
1600,4046,60,100,99,1.41,1.00E+07,1.00E+02,1289,620, SF
1700,4299,55,99.5,86.1,14.34,1.00E+07,1.00E+02,1796,822, C
1700,4299,60,99.9,97.5,3.61,1.00E+07,1.00E+02,20686,931, TO
100, 182, 1, 8.7, 8.7, 1.95, 1e+07, 1e+02, 3, 70, C
100, 182, 2, 24.9, 15.7, 3.77, 1e+07, 1e+02, 2, 41, C
100, 253, 3, 22.8, 4.7, 3.54, 1e+07, 1e+02, 4, 63, C
100, 253, 4, 6.7, 2.1, 7.10, 1e+07, 1e+02, 4, 54, C
100, 182, 1, 99.0, 99.0, 1.76, 1e+07, 1e+00, 2, 54, SF
100, 182, 2, 14.9, 13.7, 5.58, 1e+07, 1e+00, 3, 65, C
100, 253, 3, 16.8, 11.4, 8.07, 1e+07, 1e+00, 5, 71, C
100, 253, 4, 9.9, 5.7, 3.78, 1e+07, 1e+00, 7, 84, C
100, 253, 5, 87.3, 67.7, 5.81, 1e+07, 1e+00, 13, 159, C
100, 253, 6, 13.8, 8.9, 2.88, 1e+07, 1e+00, 4, 58, C
100, 253, 7, 6.7, 0.7, 6.13, 1e+07, 1e+00, 6, 73, C
100, 253, 8, 12.6, 0.1, 7.15, 1e+07, 1e+00, 5, 65, C
120, 218, 1, 96.3, 96.3, 0.66, 1e+07, 1e+00, 5, 122, C
120, 218, 2, 79.1, 79.1, 1.45, 1e+07, 1e+00, 10, 180, C
120, 304, 3, 55.6, 31.4, 1.32, 1e+07, 1e+00, 9, 102, C
120, 304, 4, 20.7, 13.4, 4.74, 1e+07, 1e+00, 5, 56, C
120, 304, 5, 9.3, 1.4, 6.02, 1e+07, 1e+00, 8, 79, C
120, 304, 6, 8.6, 3.7, 12.57, 1e+07, 1e+00, 5, 50, C
120, 304, 7, 32.5, 4.3, 3.85, 1e+07, 1e+00, 8, 88, C
120, 304, 8, 4.0, 0.1, 5.24, 1e+07, 1e+00, 8, 82, C
140, 254, 1, 99.1, 99.1, 0.85, 1e+07, 1e+00, 4, 86, SF
140, 254, 2, 94.3, 93.7, 4.23, 1e+07, 1e+00, 10, 149, C
140, 354, 3, 84.6, 76.8, 3.54, 1e+07, 1e+00, 15, 161, C
140, 354, 4, 94.0, 87.7, 3.41, 1e+07, 1e+00, 30, 268, C
140, 354, 5, 99.1, 98.4, 5.44, 1e+07, 1e+00, 36, 321, C
140, 354, 6, 20.1, 3.6, 6.13, 1e+07, 1e+00, 7, 71, C
140, 354, 7, 15.3, 0.6, 10.80, 1e+07, 1e+00, 7, 62, C
140, 354, 8, 15.4, 2.2, 24.79, 1e+07, 1e+00, 8, 74, C
160, 291, 1, 99.2, 99.2, 0.73, 1e+07, 1e+00, 6, 100, SF
160, 291, 2, 4.9, 3.3, 4.10, 1e+07, 1e+00, 7, 88, C
160, 405, 3, 12.4, 5.2, 5.50, 1e+07, 1e+00, 7, 68, C
160, 405, 4, 97.9, 96.4, 3.95, 1e+07, 1e+00, 46, 361, C
160, 405, 5, 43.8, 16.2, 4.50, 1e+07, 1e+00, 16, 126, C
160, 405, 6, 89.2, 57.0, 5.98, 1e+07, 1e+00, 21, 177, C
160, 405, 7, 4.5, 0.5, 2.99, 1e+07, 1e+00, 8, 70, C
160, 405, 8, 99.5, 99.0, 4.46, 1e+07, 1e+00, 69, 567, SF
180, 327, 1, 9.0, 9.0, 3.04, 1e+07, 1e+00, 4, 64, C
180, 327, 2, 99.2, 99.1, 2.01, 1e+07, 1e+00, 10, 120, SF
180, 456, 3, 95.9, 94.1, 3.11, 1e+07, 1e+00, 23, 189, C
180, 456, 4, 30.8, 4.9, 2.22, 1e+07, 1e+00, 12, 86, C
180, 456, 5, 90.1, 79.2, 2.69, 1e+07, 1e+00, 29, 209, C
180, 456, 6, 5.7, 1.9, 5.49, 1e+07, 1e+00, 9, 74, C
180, 456, 7, 91.5, 85.9, 3.66, 1e+07, 1e+00, 28, 221, C
180, 456, 8, 87.0, 35.9, 3.99, 1e+07, 1e+00, 49, 361, C
200, 363, 1, 37.3, 37.3, 2.00, 1e+07, 1e+00, 5, 74, C
200, 363, 2, 99.4, 99.2, 1.32, 1e+07, 1e+00, 13, 138, SF
200, 506, 3, 12.3, 6.3, 3.83, 1e+07, 1e+00, 10, 78, C
200, 506, 4, 85.9, 58.6, 1.78, 1e+07, 1e+00, 49, 316, C
200, 506, 5, 98.4, 96.1, 2.37, 1e+07, 1e+00, 66, 432, C
200, 506, 6, 83.9, 71.9, 2.05, 1e+07, 1e+00, 19, 134, C
