tN,N,nS,Phi_avg,Phi_min,Bmax,lam,kappa,opt_time,opt_calls,status
1600,4046,20,99.9,99.1,1.79,1e+07,1e+02,337,280, SF
1600,4046,22,99.9,99.0,0.98,1e+07,1e+02,304,246, SF
1600,4046,24,99.9,99.0,2.45,1e+07,1e+02,399,310, SF
1600,4046,26,99.9,99.0,0.75,1e+07,1e+02,551,401, SF
1650,4172,20,97.7,94.6,13.26,1e+07,1e+02,145,110, C
1650,4172,22,99.8,99.0,1.68,1e+07,1e+02,540,413, C
1650,4172,24,99.9,99.1,1.90,1e+07,1e+02,292,219, SF
1650,4172,26,99.9,99.0,1.04,1e+07,1e+02,464,333, SF
1350,3414,30,98.6,88.0,1.01,1e+07,1e+02,309,266, C
1350,3414,32,99.7,97.6,1.41,1e+07,1e+02,1107,886, C
1350,3414,34,99.9,98.6,1.70,1e+07,1e+02,1800,1387, TO
1350,3414,36,99.9,98.1,2.74,1e+07,1e+02,1801,1333, TO
1350,3414,38,99.9,98.4,2.62,1e+07,1e+02,1801,1314, TO
1350,3414,40,98.1,82.4,1.21,1e+07,1e+02,374,260, C
1350,3414,42,99.9,99.0,1.62,1e+07,1e+02,1101,760, SF
1350,3414,44,99.9,97.5,1.67,1e+07,1e+02,1800,1210, TO
1350,3414,46,99.8,97.6,1.61,1e+07,1e+02,1803,1211, TO
1400,3540,30,99.8,99.0,1.29,1e+07,1e+02,349,273, SF
1400,3540,32,99.9,99.0,1.65,1e+07,1e+02,1426,1097, SF
1400,3540,34,99.7,96.2,1.41,1e+07,1e+02,788,584, C
1400,3540,36,99.9,99.0,1.30,1e+07,1e+02,1031,733, SF
1400,3540,38,99.6,96.4,2.15,1e+07,1e+02,1801,1256, TO
1400,3540,40,98.1,62.5,1.65,1e+07,1e+02,533,364, C
1400,3540,42,99.9,98.8,1.78,1e+07,1e+02,1801,1183, TO
1400,3540,44,99.8,95.3,1.72,1e+07,1e+02,1801,1163, TO
1400,3540,46,99.9,99.0,1.73,1e+07,1e+02,1367,873, SF
1450,3667,30,99.7,98.0,1.39,1e+07,1e+02,574,449, C
1450,3667,32,99.9,99.1,1.42,1e+07,1e+02,616,463, SF
1450,3667,34,99.9,99.0,1.24,1e+07,1e+02,521,370, SF
1450,3667,36,99.7,94.5,1.43,1e+07,1e+02,941,660, C
1450,3667,38,99.7,96.9,1.85,1e+07,1e+02,1803,1212, TO
1450,3667,40,99.8,97.0,1.34,1e+07,1e+02,1802,1180, TO
1450,3667,42,98.6,77.6,1.22,1e+07,1e+02,564,370, C
1450,3667,44,99.2,92.2,1.14,1e+07,1e+02,513,319, C
1450,3667,46,99.9,98.9,2.02,1e+07,1e+02,1803,1111, TO
1500,3793,30,99.7,95.7,1.13,1e+07,1e+02,1802,1331, TO
1500,3793,32,99.9,99.0,1.26,1e+07,1e+02,413,303, SF
1500,3793,34,99.9,99.0,1.03,1e+07,1e+02,390,272, SF
1500,3793,36,99.8,97.6,1.68,1e+07,1e+02,1801,1217, TO
1500,3793,38,99.9,97.9,1.69,1e+07,1e+02,1801,1175, TO
1500,3793,40,99.8,96.7,1.29,1e+07,1e+02,1800,1155, TO
1500,3793,42,98.6,74.8,1.46,1e+07,1e+02,1690,1084, C
1500,3793,44,98.6,81.4,1.24,1e+07,1e+02,617,389, C
1500,3793,46,99.7,96.8,1.96,1e+07,1e+02,1802,1105, TO
1550,3920,30,99.9,99.1,1.19,1e+07,1e+02,633,449, SF
1550,3920,32,97.8,91.3,22.51,1e+07,1e+02,163,105, C
1550,3920,34,99.9,99.0,1.16,1e+07,1e+02,311,208, SF
1550,3920,36,99.9,99.0,1.11,1e+07,1e+02,444,298, SF
1550,3920,38,99.9,99.0,1.16,1e+07,1e+02,1431,928, SF
1550,3920,40,99.9,99.0,1.04,1e+07,1e+02,813,512, SF
1550,3920,42,99.9,99.0,1.29,1e+07,1e+02,1803,1125, TO
1550,3920,44,99.9,98.9,1.66,1e+07,1e+02,1802,1099, TO
1550,3920,46,99.9,99.0,1.39,1e+07,1e+02,718,433, SF
1600,4046,30,99.9,99.1,1.27,1e+07,1e+02,272,186, SF
1600,4046,32,99.9,99.0,0.90,1e+07,1e+02,1045,698, SF
1600,4046,34,99.7,97.7,1.08,1e+07,1e+02,375,245, C
1600,4046,36,98.8,80.8,1.16,1e+07,1e+02,783,509, C
1600,4046,38,99.8,99.0,1.03,1e+07,1e+02,527,333, SF
1600,4046,40,99.8,96.6,1.91,1e+07,1e+02,1800,1106, TO
1600,4046,42,100.0,99.0,1.04,1e+07,1e+02,801,484, SF
1600,4046,44,99.7,92.9,1.95,1e+07,1e+02,1802,1066, TO
1600,4046,46,99.8,97.2,2.21,1e+07,1e+02,1800,1052, TO
1650,4172,30,99.9,99.0,1.15,1e+07,1e+02,352,234, SF
850,2150,24,99.5,96.6,1.62,1e+07,1e+02,354,481, C
850,2150,26,96.4,87.2,4.44,1e+07,1e+02,96,126, C
850,2150,28,92.7,73.6,4.72,1e+07,1e+02,118,151, C
850,2150,30,96.2,38.8,2.17,1e+07,1e+02,1801,2295, TO
850,2150,32,98.8,91.0,1.98,1e+07,1e+02,300,375, C
850,2150,34,96.0,38.0,2.33,1e+07,1e+02,1618,1945, C
850,2150,36,89.6,9.1,2.26,1e+07,1e+02,190,231, C
850,2150,38,92.6,57.7,1.84,1e+07,1e+02,170,202, C
850,2150,40,95.1,55.4,2.34,1e+07,1e+02,417,486, C
900,2276,24,97.7,75.1,1.98,1e+07,1e+02,395,518, C
900,2276,26,97.6,73.2,1.46,1e+07,1e+02,311,392, C
900,2276,28,94.2,48.7,1.58,1e+07,1e+02,228,285, C
900,2276,30,93.5,61.8,1.79,1e+07,1e+02,336,420, C
900,2276,32,94.7,67.9,2.99,1e+07,1e+02,848,1026, C
900,2276,34,94.1,60.5,2.04,1e+07,1e+02,281,334, C
900,2276,36,88.7,41.6,2.18,1e+07,1e+02,2066,260, TO
900,2276,38,22.8,0.1,1.34,1e+07,1e+02,1874,13, TO
900,2276,40,22.9,1.9,0.44,1e+07,1e+02,2024,12, TO
950,2403,24,20.3,0.1,0.38,1e+07,1e+02,2035,11, TO
950,2403,26,36.5,2.1,0.46,1e+07,1e+02,2098,16, TO
950,2403,28,99.8,99.0,1.67,1e+07,1e+02,1360,569, SF
950,2403,30,94.7,54.0,1.33,1e+07,1e+02,140,168, C
950,2403,32,96.3,65.2,1.93,1e+07,1e+02,461,531, C
950,2403,34,96.8,68.3,1.70,1e+07,1e+02,482,554, C
950,2403,36,97.2,69.4,2.61,1e+07,1e+02,2146,1355, TO
950,2403,38,93.9,25.9,1.79,1e+07,1e+02,946,282, C
950,2403,40,94.6,65.5,1.72,1e+07,1e+02,361,369, C
1000,2529,24,95.8,70.1,1.26,1e+07,1e+02,2017,226, TO
1000,2529,26,96.6,73.4,1.34,1e+07,1e+02,1731,373, C
440,1113,6,99.7,99.1,1.12,1e+07,1e+00,128,432, SF
480,1214,8,99.7,99.1,1.22,1e+07,1e+00,173,516, SF
480,1214,10,99.8,99.0,1.54,1e+07,1e+00,176,486, SF
480,1214,12,99.6,99.0,1.63,1e+07,1e+00,230,652, SF
480,1214,14,99.1,97.4,1.77,1e+07,1e+00,213,571, C
640,1619,14,99.8,99.0,1.35,1e+07,1e+00,540,1075, SF
640,1619,16,99.8,99.0,1.27,1e+07,1e+00,376,775, SF
640,1619,18,99.9,99.0,2.15,1e+07,1e+00,1524,2839, SF
640,1619,20,98.5,81.5,1.82,1e+07,1e+00,852,1574, C
640,1619,22,94.6,52.2,1.96,1e+07,1e+00,480,854, C
680,1720,14,98.5,89.1,2.61,1e+07,1e+00,1800,3290, TO
680,1720,16,98.7,88.8,2.31,1e+07,1e+00,1800,3545, TO
680,1720,18,98.8,88.8,2.51,1e+07,1e+00,1801,3193, TO
720,1821,20,93.4,34.9,1.10,1e+07,1e+00,262,434, C
720,1821,22,95.7,32.2,1.48,1e+07,1e+00,900,1459, C
720,1821,18,95.9,44.0,1.37,1e+07,1e+02,337,581, C
720,1821,20,94.4,37.0,1.33,1e+07,1e+02,157,250, C
1350,3414,60,7.1,0.1,44.00,1e+07,1e+02,9,5, MF
1350,3414,64,7.5,0.0,5.09,1e+07,1e+02,13,7, MF
1350,3414,68,99.1,74.5,2.76,1e+07,1e+02,1801,1218, TO
1400,3540,60,6.7,0.1,11.06,1e+07,1e+02,11,6, MF
1400,3540,64,8.3,0.4,42.05,1e+07,1e+02,10,5, MF
1400,3540,68,99.8,98.1,1.92,1e+07,1e+02,1800,1188, TO
1450,3667,60,99.8,95.5,2.10,1e+07,1e+02,1801,1228, TO
1450,3667,64,7.7,0.1,40.26,1e+07,1e+02,11,5, MF
1450,3667,68,7.6,0.0,41.71,1e+07,1e+02,11,5, MF
1500,3793,60,99.5,87.9,1.59,1e+07,1e+02,1802,1170, TO
1500,3793,64,8.2,0.1,37.64,1e+07,1e+02,11,5, MF
1500,3793,68,7.0,0.0,11.19,1e+07,1e+02,13,6, MF
1550,3920,60,8.7,0.4,10.83,1e+07,1e+02,12,6, MF
1550,3920,64,99.8,95.8,2.47,1e+07,1e+02,1803,1084, TO
1550,3920,68,7.0,0.2,12.59,1e+07,1e+02,14,6, MF
1600,4046,60,99.7,91.5,1.62,1e+07,1e+02,1803,1098, TO
1600,4046,64,7.9,0.2,12.69,1e+07,1e+02,13,6, MF
1350,3414,60,7.1,0.1,44.00,1e+07,1e+02,10,5, MF
1350,3414,64,7.5,0.0,5.09,1e+07,1e+02,13,7, MF
1400,3540,60,5.4,0.0,35.45,1e+07,1e+02,10,5, MF
1400,3540,64,6.9,1.3,23.63,1e+07,1e+02,10,5, MF
1400,3540,68,6.7,0.1,31.34,1e+07,1e+02,11,5, MF
1400,3540,60,58.4,3.3,11.12,1e+09,1e+00,155,105, C
1400,3540,64,8.3,0.4,42.05,1e+09,1e+00,11,5, MF
1400,3540,68,12.5,0.1,0.63,1e+09,1e+00,136,89, C
1450,3667,60,16.6,0.3,0.66,1e+09,1e+00,127,88, C
1450,3667,64,7.7,0.1,40.26,1e+09,1e+00,11,5, MF
1450,3667,68,7.6,0.0,41.71,1e+09,1e+00,12,5, MF
1500,3793,60,13.1,0.0,0.49,1e+09,1e+00,150,100, C
1500,3793,64,8.2,0.1,37.64,1e+09,1e+00,12,5, MF
1500,3793,68,7.0,0.0,11.19,1e+09,1e+00,41,23, C
1550,3920,60,13.1,0.3,10.93,1e+09,1e+00,133,84, C
1550,3920,64,10.9,0.3,1.37,1e+09,1e+00,158,98, C
1550,3920,68,7.0,0.2,12.59,1e+09,1e+00,42,23, C
1600,4046,60,14.6,0.1,0.55,1e+09,1e+00,130,83, C
1600,4046,64,7.9,0.2,12.69,1e+09,1e+00,42,23, C
1600,4046,68,20.4,0.0,0.48,1e+09,1e+00,108,63, C
1650,4172,60,12.6,0.2,5.49,1e+09,1e+00,186,112, C
1650,4172,64,8.8,0.0,50.64,1e+09,1e+00,13,5, MF
1650,4172,68,13.9,0.1,0.63,1e+09,1e+00,164,95, C
1700,4299,60,6.0,0.1,40.91,1e+09,1e+00,12,5, MF
1700,4299,64,5.8,0.0,14.07,1e+09,1e+00,44,23, C
1700,4299,68,6.7,0.0,41.83,1e+09,1e+00,14,5, MF
1750,4425,60,14.5,0.7,0.46,1e+09,1e+00,158,90, C
1750,4425,64,20.5,0.9,0.35,1e+09,1e+00,166,91, C
1750,4425,68,13.0,0.1,0.48,1e+09,1e+00,156,83, C
1800,4552,60,6.5,0.0,11.45,1e+09,1e+00,45,23, C
1800,4552,64,8.4,0.3,34.48,1e+09,1e+00,14,5, MF
1800,4552,68,14.9,0.0,12.69,1e+09,1e+00,161,81, C
